id	title	identifiers	flags	source_snippets
goetzmann0675	Imperial Russian Government, Nikolaevsky Railway 4% Bond (St. Petersburg, 1867)	No. 579536–579540 | No. 207321 | No. 946007		notes:"Nos. 579536–579540." · notes:"No. 207321" · notes:"No. 946007"
goetzmann0676	Imperial Russian Government Consolidated 4% Railway Bond	No. 579950		notes:"No. 579950."
goetzmann0677	Russian Provisional Government Liberty Loan, Petrograd, 1917	No. 0643022		notes:"No. 0643022."
goetzmann0679	Student Loan Marketing Association (Sallie Mae) Yield Curve Note, United States, 1986	No. R 22217		notes:"No. R 22217."
goetzmann0689	National Pisco to Yca Railway Company Guaranteed Loan Bond, Republic of Peru, London, 1869	No. 3395 | No. 3,001–5,800 | No. 1 | No. 3,001		notes:"No. 3395." · notes:"Nos. 3,001–5,800." · description:"numbered 1" · description:"numbered 3,001"
goetzmann0691	Chilian Eastern Central Railway Company First Mortgage Gold Bond	No. 7645 | No. 1		notes:"No. 7645." · description:"numbered 1"
goetzmann0696	Kingdom of Serbia 4% Amortisable Gold Bond	No. 033,596 | Loan of 1895		notes:"No. 033,596." · page:goetzmann0695:"loan of 1895"
goetzmann0697	Chinese Imperial Government 4½% Gold Loan Bond, Berlin, 1898	No. 076220 | No. A 024,487 | Loan of 1898 | No. 76 | No. 076230		notes:"No. 076220" · notes:"No. A 024,487," · notes:"Loan of 1898" · page:goetzmann0699:"numbered 76" · page:goetzmann0699:"No. 076230,"
goetzmann0701	Government of Honduras State Railway Loan Bearer Obligation, Paris, 1869	No. 74444 | Loan of 1869		notes:"No. 74444." · notes:"Loan of 1869"
goetzmann0703	Republic of Bolivia Bearer Bond with Coupon Sheet	Loan of 1870		notes:"Loan of 1870"
goetzmann0705	City of Naples Unified Debt Bond	No. 20027		notes:"No. 20027."
goetzmann0706	Liberian Government 7% Loan Arrear Interest Certificate, London, 1899	No. 0865 | Loan of 1871		notes:"No. 0865" · notes:"Loan of 1871"
goetzmann0707	República Mexicana 5% Consolidated External Debt Gold Bond, 1899	No. 621768 | Loan of 1899		notes:"No. 621768." · description:"loan of 1899"
goetzmann0708	Mexico Gold Treasury Bond	No. 054614		notes:"No. 054614."
goetzmann0709	Provisional Bearer Receipt for the 4% Ottoman Unified Converted Debt, Paris, 1933	No. 0,951,240		notes:"No. 0,951,240."
goetzmann0710	Société Ottomane du Chemin de Fer de Damas-Hamah Bond, Constantinople, 1910	No. 41045		notes:"No. 41045."
goetzmann0711	Ottoman Public Debt Bearer Receipt, Amsterdam, 1930	No. 100,014 | No. 125,515 | Serie A 1928		notes:"No. 100,014." · notes:"No. 125,515" · notes:"Série A 1928."
goetzmann0713	Republic of Peru 100-soles bond for the Arica customs house, Lima, 1871	No. 165		notes:"No. 165."
goetzmann0714	City of Warsaw Bearer Bond	No. 0038738 | Loan of 1931		notes:"No. 0038738." · notes:"Loan of 1931"
goetzmann0716	Republic of Poland Dollar Premium Loan Bond, Warsaw, 1931	No. 1450669 | No. 16 | No. 1222277		notes:"No. 1450669." · notes:"nos. 16," · notes:"No. 1222277"
goetzmann0717	Portugal External Debt Provisional Certificate	No. 1463		notes:"No. 1463."
goetzmann0718	Portuguese External Fund Zero-Coupon Bond, Lisbon, 1902	No. 303486		notes:"No. 303486."
goetzmann0719	Hope & Co. Certificate of Russian 6% Bank Assignations, Amsterdam, 1825	No. 1326 | No. 4031 | No. 3074		notes:"No. 1326," · notes:"No. 4031" · notes:"No. 3074"
goetzmann0720	USSR State Loan Bond	No. 012594 | Serie 33		notes:"No. 012594," · notes:"Series 33,"
goetzmann0721	Russian State Internal 4½% Lottery Loan Bond, Provisional Government, 1917	No. 15800 | No. 32 | Loan of 1917		notes:"No. 15800," · notes:"No. 32," · notes:"Loan of 1917"
goetzmann0723	Imperial Russian Three Per Cent Loan Bond	No. 41150 | Loan of 1859		notes:"No. 41150." · notes:"Loan 1859"
goetzmann0724	City of Bari Prize Loan Bond	No. 049 | Serie 317		notes:"No. 049." · notes:"Serie 317,"
